Title,Company's Name,Location,Duration,Stipend
Capital Market,Big Bulls,Work from home,2 Months,"₹ 8,000 - 30,000 "
Investment Analyst,Big Bulls,Work from home,2 Months,"₹ 8,000 - 30,000 "
Research Analyst,Big Bulls,Work from home,2 Months,"₹ 8,000 - 30,000 "
Online Marketing,Pawzz Foundation,Work from home,1 Month,"₹ 1,500 - 15,000 "
Data Science,Maxgen Technologies Private Limited,Ahmedabad,2 Months,"₹ 7,000 - 12,000 "
Product Strategy Analyst,Sigaar Play,Bangalore,6 Months,"₹ 10,000 "
Software Development,Astirmind,"Ludhiana, Phagwara, Khanna",6 Months,"₹ 5,000 "
Project Management,Brave Artificial Intelligence Laboratory,Work from home,3 Months,"₹ 15,000 - 25,000 "
Data Science,Brave Artificial Intelligence Laboratory,Work from home,3 Months,"₹ 15,000 - 25,000 "
Business Development (Sales),Entertainment Quotient,Mumbai,6 Months,"₹ 10,000 - 17,000 "
Market Research,Assistnow Inc,Work from home,3 Months,"₹ 5,000 - 10,000 "
Search Engine Optimization (SEO),MoncWare Info,Ahmedabad,1 Month,"₹ 2,000 "
Data Science,Bezt Labs,Work from home,3 Months,"₹ 10,000 - 11,000 "
Research And Analysis,Krishna Consultants,Hyderabad,3 Months,"₹ 4,000 - 7,000 "
Data Analytics,Krishna Consultants,Hyderabad,3 Months,"₹ 4,000 - 7,000 "
Junior Process Analyst,Krishna Consultants,Hyderabad,3 Months,"₹ 4,000 - 7,000 "
Search Engine Optimization (SEO),Switch2us,Noida,6 Months,"₹ 6,000 - 8,000 "
Search Engine Optimization (SEO),Digigrove Digital Pvt Ltd,Gurgaon,3 Months,"₹ 7,000 - 9,000 "
Supply Chain & Logistics Operations,Evavo Wellness & Solutions LLP,Mumbai,6 Months,"₹ 7,000 - 10,000 "
Marketing,CLAP - Creative Learning Arts & Performance,Work from home,3 Months,"₹ 5,000 - 15,000 "
Software Testing,Digicians,Ahmedabad,4 Months,"₹ 5,000 - 6,500 "
AI & Machine Learning,Maxgen Technologies Private Limited,"Ahmedabad, Rajkot",3 Months,"₹ 7,000 - 12,000 "
Digital Marketing And SEO Associate,Skyingskills Edutech Pvt. Ltd.,Delhi,6 Months,"₹ 5,000 - 10,000 "
Data Scraping And Automation,Infoware,Work from home,3 Months,"₹ 5,000 - 10,000 "
Business Development (Sales),Pawzz Foundation,Work from home,4 Weeks,"₹ 1,500 - 15,000 "
Technical Recruiter (Admin),Elementals.ai,Bangalore,6 Months,"₹ 11,000 - 15,000 "
Search Engine Optimization (SEO),Webtech Evolution,Ahmedabad,3 Months,"₹ 5,000 - 6,000 "
E-Commerce Research Assistant (Dropshipping),Apex Publishing,Work from home,6 Months,"₹ 6,000 - 8,000 "
Business Research,Tenex Consultancy Services,Work from home,3 Months,"₹ 8,000 - 10,000 "
Data Analyst,Maxgen Technologies Private Limited,Pune,2 Months,"₹ 7,000 - 12,000 "
Search Engine Optimization (SEO),Digital GK,Jaipur,3 Months,"₹ 5,000 - 8,000 "
Google Ads,Enout,Gurgaon,2 Months,"₹ 10,000 - 15,000 "
Machine Learning,Aaans Services Private Limited,Work from home,3 Months,"₹ 10,000 - 30,000 "
Quant Analyst - Algorithmic Trading,CleverBharat,Work from home,6 Months,"₹ 25,000 "
Artificial Intelligence (AI),JMedia Corporation,Work from home,6 Months,"₹ 5,000 - 15,000 "
Social Media Research & Monitoring,Varahe Analytics Pvt. Ltd.,Noida,2 Months,"₹ 5,000 - 10,000 "
HR,Qapita - CapTable & ESOP Management Platform,Bangalore,6 Months,"₹ 15,000 - 20,000 "
Founders Office,Zudyog.ai,Bangalore,3 Months,"₹ 8,000 - 16,000 "
Founders Office,OPTIMUS NEXGEN WEALTH PRIVATE LIMITED,Mumbai,6 Months,"₹ 7,500 - 8,000 "
Human Resources (HR),Adisha Foundation,Delhi,6 Months,"₹ 8,000 - 12,000 "
Shopify Generalist,ThePlainsCo.,Work from home,3 Months,"₹ 5,000 - 10,000 "
Data Science,Bezt Labs,Work from home,3 Months,"₹ 10,000 - 12,000 "
Data Science,Bezt Labs,Work from home,3 Months,"₹ 10,000 - 11,000 "
Digital Marketing,Brands Jar,Pune,3 Months,"₹ 10,000 - 11,000 "
Lead Generation,Jai Mata Di Art & Creations,Work from home,3 Months,"₹ 3,000 - 5,000 lump sum"
Operations,Joveo,Bangalore,6 Months,"₹ 15,000 "
Artificial Intelligence (AI),Bezt Labs,Work from home,3 Months,"₹ 10,000 - 11,000 "
Data Science,Maxgen Technologies Private Limited,Pune,2 Months,"₹ 7,000 - 12,000 "
Python Developer,Maxgen Technologies Private Limited,"Ahmedabad, Rajkot",5 Months,"₹ 7,000 - 12,000 "
Market Research,V.D. POP & Display,Mumbai,6 Months,"₹ 10,000 - 15,000 "
Search Engine Optimization (SEO),Deepak Bhardwaj,Work from home,6 Months,"₹ 3,000 - 6,000 "
Business Development (Sales),Mantras Foundation,Kolkata,2 Weeks,Unpaid
Digital Marketing,Edit One International,Delhi,6 Months,"₹ 5,000 - 10,000 "
Export Merchandising,LIFTUP OVERSEAS,Agra,6 Months,"₹ 7,000 - 15,000 "
Image Processing (Python),Byteprolabs,Bangalore,3 Months,"₹ 15,000 - 20,000 "
Sales & Marketing,Kognivai Analytics,Work from home,6 Months,"₹ 33,000 - 75,000 "
Technical Content Creator (AI/ML Focus),Infoware,Work from home,5 Months,"₹ 8,000 - 10,000 "
Virtual Charity Drive,Pawzz,Work from home,4 Weeks,"₹ 1,500 - 15,000 lump sum"
Artificial Intelligence (AI),Infoware,Work from home,5 Months,"₹ 6,000 - 10,000 "
Artificial Intelligence (AI),Softcell Technologies Limited,Mumbai,2 Months,"₹ 24,999 - 25,000 "
Search Engine Optimization (SEO),Better,Work from home,6 Months,"₹ 8,000 - 10,000 "
Artificial Intelligence (AI),CollegeTips Ed Tech Media Private Limited,Bhopal,1 Month,"₹ 2,000 - 10,000 "
Search Engine Optimization (SEO),CSG Technosol Private Limited,Noida,3 Months,"₹ 7,500 - 7,501 "
Search Engine Optimization (SEO),Noriaz Consulting India Private Limited,"Kolkata, Thane, Navi Mumbai, Mumbai, Vashi, Panvel",6 Months,"₹ 8,000 - 10,000 "
Sales And Marketing Trainee,Innocule,Bhubaneswar,2 Months,"₹ 15,000 "
Date Researcher,Kolf & Safex,Delhi,6 Months,"₹ 18,000 "
Research & Growth,Netwale,"Kozhikode, Malappuram",3 Weeks,"₹ 500 - 1,000 "
Finance,Bezt Labs,Work from home,4 Months,"₹ 10,000 - 11,000 "
Performance Marketing,Brandshark,Bangalore,3 Months,"₹ 10,000 "
Cloud AI Inference Engineer (Scalable Real-Time AI Deployment),Syscon Electro Tech India Private Limited,Work from home,4 Months,"₹ 8,000 - 12,000 "
Artificial Intelligence (AI),Artizence,Work from home,3 Months,"₹ 5,000 - 10,000 "
Co- Founder Communication (Marketing And Sales),Madee,"Delhi, Gurgaon",6 Months,"₹ 3,000 - 10,000 "
Investment Analyst & New Brand Partnership,Nexten Brands Private Limited,Bangalore,6 Months,"₹ 10,001 - 25,000 "
Search Engine Optimization (SEO),REVES Enterprise Limited,Gurgaon,6 Months,"₹ 5,000 - 15,000 "
Sales and Outreach,Pawzz,Work from home,1 Month,"₹ 1,500 - 15,000 "
Artificial Intelligence (AI),Andaz Kumar,Work from home,3 Months,"₹ 10,000 - 18,000 "
Campus Ambassador,Pawzz,Work from home,1 Month,Performance Based
Finance,Vahan Technologies India Private Limited,Bangalore,6 Months,"₹ 20,000 - 25,000 "
Computer Vision,Edith Defence Systems Private Limited,Navi Mumbai,4 Months,"₹ 12,000 - 15,000 "
Digital Marketing,Quantazone,Work from home,3 Months,"₹ 5,000 "
Search Engine Optimization (SEO),Deepnexus S,Coimbatore,3 Months,"₹ 5,000 - 6,000 "
Artificial Intelligence (AI),Supersourcing,Indore,6 Months,"₹ 8,000 - 10,000 "
UI/UX Design,Softnerve Technology Private Limited,Work from home,6 Months,"₹ 7,000 - 15,000 "
Data Science,International Institute Of SDGs & Public Policy Research,Work from home,2 Months,Unpaid
E-Commerce Business Management,Cake Square,Chennai,3 Months,"₹ 14,000 - 28,000 "
Artificial Intelligence (AI),B3NET TECHNOLOGIES,Kolkata,3 Months,"₹ 2,000 "
AI & Data Science,Inorbvict Healthcare India Private Limited,Pune,3 Months,"₹ 3,000 - 6,000 "
Creative Design,SOLAR PUNK SPORTS PRIVATE LIMITED,Hyderabad,3 Months,"₹ 12,000 - 15,000 "
AI Agent Development,Gigin Technologies Private Limited,Bangalore,6 Months,"₹ 20,000 - 30,000 "
Business Analytics,Techdome Solutions Private Limited,"Indore, Hyderabad",6 Months,"₹ 10,000 - 15,000 "
Quality Analyst,Techdome Solutions Private Limited,"Indore, Hyderabad",6 Months,"₹ 10,000 - 15,000 "
Data Science,ApproLabs Private Limited,Chennai,6 Months,"₹ 6,000 - 15,000 "
Administration,Indian Energy Exchange Limited,Noida,6 Months,"₹ 10,000 - 15,000 "
Digital Marketing,Trade Brains,Bangalore,3 Months,"₹ 9,000 - 12,000 "
Management Trainee,HireDesigners,Noida,6 Months,"₹ 8,000 - 15,000 "
Computer Vision AIML,Techdome Solutions Private Limited,"Indore, Hyderabad",6 Months,"₹ 10,000 - 15,000 "
Artificial Intelligence (AI),Techdome Solutions Private Limited,"Indore, Hyderabad",6 Months,"₹ 10,000 - 15,000 "
Content Writing,KLM Growth & Technical Services,Raipur,3 Months,"₹ 8,000 - 10,000 "
Content Writing,KLM Growth & Technical Services,Work from home,3 Months,"₹ 8,000 - 10,000 "
Data Science/AI Engineer,Fundrev,Bangalore,6 Months,"₹ 25,000 "
Social Impact,Pawzz,Work from home,1 Month,"₹ 1,500 - 15,000 "
Graphic Design,Minimoresel Enterprises,Work from home,2 Months,"₹ 6,000 - 10,000 "
Full Stack Development,Supervaisor.AI,Work from home,5 Months,"₹ 20,000 - 35,000 "
Graphic Design & Video Editing,International Institute Of Data Science & Technology,Mumbai,3 Months,"₹ 10,001 - 20,000 "
Business Development (Sales),Atarkya Creatives,Work from home,2 Months,"₹ 10,000 - 75,000 "
Human Resources (HR),Centre For Development Communication,Jaipur,2 Months,"₹ 3,000 - 4,000 "
SEO – AI Tools,Two99,Noida,3 Months,"₹ 10,000 - 15,000 "
Digital Marketing,Endlos Innovations,Ahmedabad,6 Months,"₹ 2,000 - 5,000 "
Artificial Intelligence (AI),Elementals.ai,Bangalore,6 Months,"₹ 15,000 "
Operations,Greater Than Educational Technologies,Hyderabad,3 Months,"₹ 12,000 - 15,000 "
Data (Python & SQL),Baweja Media,Work from home,6 Months,"₹ 5,000 "
Business Analytics,1Cell.ai,Mumbai,6 Months,"₹ 12,000 "
Facebook Marketing,Meetooshop,Work from home,3 Months,"₹ 3,000 - 5,000 "
Growth Automation,Indika AI Private Limited,Work from home,2 Months,"₹ 6,000 - 10,000 "
Business News Writer And Editor,Dofin Tech Private Limited,Gurgaon,2 Months,"₹ 20,000 - 30,000 "
Fundraising,Indian Innovators Of Technology For Next Gen,Work from home,3 Months,"₹ 2,000 - 65,000 "
Junior Business Analyst,TOOTHROCKET,Pune,6 Months,"₹ 8,500 - 12,000 "
Search Engine Optimization (SEO),Ashore System Private Limited (Avion Technology),Pune,6 Months,"₹ 5,000 - 10,000 "
Brand Management,Cabswale,Jaipur,3 Months,"₹ 16,000 - 25,000 "
Market Research,My Choize,Delhi,6 Months,"₹ 15,000 - 20,000 "
Software Development,TringBox,Work from home,3 Months,"₹ 4,000 - 15,000 "
Product Management,The Design Palette,Bangalore,4 Months,"₹ 12,000 - 18,000 "
Marketing,Gerson Lehrman Group India Private Limited,Mumbai,6 Months,"₹ 10,000 - 20,000 "
Full Stack Development & Web Scraping,Digital Gimmick,Work from home,6 Months,"₹ 12,000 - 15,000 "
Content Writing,Great Learning,"Gurgaon, Bangalore",6 Months,"₹ 15,000 "
Product Operations (Data & QA Analyst),Demandlane,Work from home,6 Months,"₹ 10,000 - 16,000 "
Co-Founder,Tech Tool Wale,Work from home,6 Months,"₹ 3,000 - 5,000 "
Search Engine Optimization (SEO),NuCodex Solution,Work from home,3 Months,"₹ 1,000 "
Video Editing/Making,Orange Instruments And Engineering,Pune,1 Month,"₹ 10,000 - 15,000 "
Search Engine Optimization (SEO),Softzia,Work from home,1 Month,"₹ 1,000 - 3,000 "
Video Editing/Making,XROM,Work from home,6 Months,"₹ 5,000 - 15,000 "
Performance Marketing,Sunita Singh,Work from home,2 Months,"₹ 1,000 "
Search Engine Optimization (SEO),Impresio Studio,Noida,3 Months,"₹ 10,000 "
Backend Development- Conversational AI,Joveo,Work from home,6 Months,"₹ 50,000 "
Research & Operations,GLOBAL IC,Kolkata,1 Month,"₹ 4,000 - 6,000 "
Software Testing,OyeLabs,Work from home,6 Months,"₹ 5,000 - 10,000 "
Subject Matter Expert (SME),Grade Up Assignment,Work from home,2 Months,"₹ 10,000 - 30,000 "
Data Analyst,BXP Support And Solutions Private Limited,Bangalore,4 Months,"₹ 15,000 - 17,500 "
Google Ads,Messold Technologies,Work from home,6 Months,"₹ 7,000 - 10,000 "
Technology Lead,Resolute AI Software Private Limited,Work from home,3 Months,"₹ 10,000 "
Social Media Marketing,Deep Connection,Gurgaon,3 Months,"₹ 8,000 - 10,000 "
Data Analytics,Palk Street,Hyderabad,6 Months,"₹ 6,000 - 8,000 "
AI Automation & RPA,Aspire Infinity Solutions Pvt Ltd,Jaipur,6 Months,"₹ 8,000 - 12,000 "
Equity Analyst,Saascorp Holdings (Family Office),Mumbai,5 Months,"₹ 4,000 - 5,000 "
Research Analyst,Faff,Bangalore,2 Months,"₹ 30,000 "
Business Development (Sales),SMARRTIF AI,Delhi,3 Months,"₹ 5,000 "
Associate Consultant - AI/ML Trainer,SMARRTIF AI,Delhi,3 Months,"₹ 5,000 "
Search Engine Optimization (SEO),Aryan Jalan,"Kanpur Dehat, Kanpur",3 Months,"₹ 7,000 - 10,000 "
E-commerce (Shopify),Indian Cricket Store,Work from home,6 Months,"₹ 7,000 - 12,000 "
AI For Biotech & Bioeconomy,Energy Alternatives India,Chennai,2 Months,"₹ 15,000 - 20,000 "
Campus Ambassador,House Of Couton Private Limited,Work from home,2 Months,Performance Based
LangChain Application Development,Munshot,Work from home,6 Months,"₹ 10,000 - 10,001 "
Data Analytics,ConversAIlabs,Gurgaon,3 Months,"₹ 5,000 - 5,001 "
Video Editing/Making,7 Wolves Media,"Ahmedabad, Nadiad, Pune, Udaipur, Anand, Hyderabad, Bhopal, Mumbai, Baroda, Goa Velha, Gujarat",6 Months,"₹ 4,000 - 6,000 "
Artificial Intelligence (AI),Alphabt,"Gurgaon, Lucknow, Chennai",6 Months,"₹ 12,500 - 15,000 "
Artificial Intelligence (AI),Reach Technologies,Work from home,1 Month,"₹ 11,000 - 15,000 "
Algorithm Development,Reach Technologies,Work from home,3 Months,"₹ 8,000 - 9,000 "
Human Resources (HR),International Institute Of Data Science & Technology,Noida,3 Months,"₹ 10,000 - 15,000 "
Search Engine Optimization (SEO),Deedok It Solutions,Lucknow,3 Months,"₹ 11,000 "
Client Acquisition,StayVista,Gurgaon,6 Months,"₹ 3,000 - 5,000 "
Digital Marketing,VirtuBox Infotech Private Limited,Noida,6 Months,"₹ 12,000 - 15,000 "
Finance Operations,Enout,Gurgaon,2 Months,"₹ 8,000 - 12,000 "
Search Engine Optimization (SEO),COSGrid Systems Private Limited,Chennai,2 Months,"₹ 10,000 - 12,000 "
Search Engine Optimization (SEO),Seertree Global Services,Chennai,6 Months,"₹ 15,000 - 20,000 "
Graphic Design,Hotel Transit Private Limited - Units (T24 Retro & T24 Residency),Mumbai,3 Months,"₹ 8,000 - 12,000 "
SQL,Apex Style,Work from home,1 Month,"₹ 1,400 - 2,000 "
Machine Learning,S.S. Rana & Company,Delhi,3 Months,"₹ 4,000 - 5,000 "
Video Editor - AI Tools,Soleil Sante Prabhav (OPC) Private Limited,Work from home,6 Months,"₹ 5,000 "
Fashion Consultant,Glamanand Entertainment,Delhi,3 Months,"₹ 12,000 - 15,000 "
Data Engineering,Augrade Private Limited,Work from home,3 Months,"₹ 8,000 - 15,000 "
UX/UI Design,URE Legal Advocates,Work from home,5 Months,"₹ 1,000 "
General Management,Tagbag Cornerstone Private Limited,Work from home,6 Months,"₹ 30,000 - 50,000 "
Search Engine Optimization (SEO),Gurukul Yogashala,Rishikesh,6 Months,"₹ 8,000 - 10,000 "
Search Engine Optimization (SEO),Wheelsbingo.com,Noida,3 Months,"₹ 3,000 - 5,000 "
Subject Matter Expert (Copyediting),Solvitude,Work from home,3 Months,"₹ 5,000 - 15,000 "
Search Engine Optimization (SEO),Nextag Media,Noida,6 Months,"₹ 5,000 - 8,000 "
Search Engine Optimization (SEO),ONE GROUP DEVELOPERS,Delhi,6 Months,"₹ 3,500 - 4,000 "
MIS Data Management,YDigital,Mumbai,6 Months,"₹ 3,000 - 12,000 "
Python And AI Instructor,Rancho Labs,Work from home,3 Months,"₹ 7,000 - 7,500 "
Search Engine Optimization (SEO),Innoflint LLP,Mumbai,6 Months,"₹ 5,000 - 6,000 "
Video Editing/Making,Instorely,Work from home,6 Months,"₹ 3,000 - 5,000 "
Summer Intern- Operations,PadCare Labs,Pune,3 Months,"₹ 10,000 - 15,000 "
Business Development (Sales),Sucheta Anchaliya,Work from home,6 Months,"₹ 2,500 - 10,000 "
Accounting & Bookkeeping,Shaavi Professional Pvt Ltd,"Delhi, North West, South",5 Months,"₹ 5,000 - 10,000 "
Search Engine Optimization (SEO),Growth Escalators,Jaipur,6 Months,"₹ 5,000 - 6,000 "
Equity Research Analyst,Desvelado Advisory,Delhi,6 Months,"₹ 10,000 "
Machine Learning,Vizuara,Pune,3 Months,"₹ 20,000 - 25,000 "
Data Science,Accredian,Work from home,6 Months,"₹ 10,000 - 15,000 "
Tech & Systems Associate,Stoic Investment Managers,Faridabad,6 Months,"₹ 15,000 - 20,000 "
Product (UI/UX & Web Experiences),BeeGraphy,Delhi,3 Months,"₹ 10,000 - 12,000 "
Generative AI Engineering,RSVR Technlogies Private Limited,Work from home,6 Months,"₹ 25,000 "
Artificial Intelligence (AI),Hubnine India Private Limited,Work from home,6 Months,"₹ 8,000 - 15,000 "
AI Trainer Chemistry,Graveiens Eduservices Private Limited,Work from home,3 Months,"₹ 21,000 - 32,000 "
Business Analytics,Kota Patties,Bangalore,2 Months,"₹ 20,000 - 35,000 "
Summer Intern- Sales,PadCare Labs,Pune,3 Months,"₹ 10,000 - 15,000 "
Sales & Marketing,AuVIRA VENTURES PRIVATE LIMITED,Pondicherry,6 Months,"₹ 11,000 - 15,000 "
MIS,Zippee,Gurgaon,6 Months,"₹ 15,000 "
PowerBI/Tableau Developer,Stakeinsights Consulting Private Limited,"Faridabad, Delhi, Gurgaon, Noida",3 Months,"₹ 18,000 - 25,000 "
Video Production & AI Editing,AFD India,"Ernakulam, Cochin",2 Months,"₹ 11,000 - 15,000 "
Business Development (Sales),Dotnitron,Work from home,6 Weeks,"₹ 5,000 "
Large Language Model Researcher,ConversAIlabs,Work from home,3 Months,"₹ 5,000 - 5,001 "
Data Engineering,Renan Partners,Work from home,6 Months,"₹ 5,000 "
Subject Matter Expert (SME),Final Round AI,Work from home,2 Months,"₹ 15,000 - 18,000 "
Artificial Intelligence (AI),Digital Heroes,Work from home,1 Month,"₹ 2,000 "
Computer Vision,Indika AI Private Limited,"Delhi, Noida",2 Months,"₹ 8,000 - 12,000 "
JavaScript Development,W3Dev,Work from home,6 Months,"₹ 5,000 - 8,000 "
Search Engine Optimization (SEO),Techcanvass,"Thane, Mumbai, Panvel",6 Months,"₹ 12,000 "
Marketing,Avkalan.ai,Work from home,6 Months,"₹ 10,000 "
Junior Business Analyst/Jr. Operations Analyst (AI Projects),Vsure Consultancy Services,Navi Mumbai,6 Months,"₹ 10,000 - 15,000 "
Digital Marketing,Avi Sharma,Work from home,3 Months,"₹ 10,000 "
Market Research,Eduqe Learning LLP,Noida,3 Months,"₹ 10,000 - 35,000 "
Search Engine Optimization (SEO),IGlobalizer Digital Agency,"Delhi, Noida",6 Months,"₹ 3,500 - 4,000 "
Software Development And Testing Automation (Multi Technology),Login2Xplore,Work from home,3 Months,"₹ 6,000 - 7,500 lump sum"
Market Research,Fashion Accessories India Private Limited,Work from home,2 Months,"₹ 7,500 - 12,000 "
AI Video Content Creation,Soni Consultancy,Work from home,6 Months,"₹ 2,000 - 10,000 "
LLM Engineer,Velozity Global Solutions,Work from home,6 Months,"₹ 20,000 - 30,000 "
ALT TEXT Writer (Life Sciences),Solvitude,Work from home,3 Months,"₹ 5,000 - 15,000 "
ALT TEXT Writer (Mechanical Engineering),Solvitude,Work from home,3 Months,"₹ 6,000 - 15,000 "
ALT TEXT Writer (Engineering),Solvitude,Work from home,3 Months,"₹ 8,000 - 15,000 "
Data Analytics,PixaBeam Digital Services,Work from home,6 Months,"₹ 2,000 - 3,000 "
Alt Text Writer,Solvitude,Work from home,3 Months,"₹ 8,000 - 15,000 "
Computer Vision,Countai Private Limited,Coimbatore,6 Months,"₹ 10,000 "
Business Development (Sales),Cordly AI,Work from home,2 Months,"₹ 10,000 - 15,000 "
Business Development (Sales),India In Pixels,Work from home,2 Months,"₹ 15,000 - 30,000 "
Search Engine Optimization (SEO),Sevencore Techstack Pvt. Ltd.,Ahmedabad,6 Months,"₹ 7,000 "
Business Development (Sales),Jaipur SEO Company,Jaipur,3 Months,"₹ 5,000 - 15,000 "
Business Development,NestAway Technologies Private Limited,Bangalore,6 Months,"₹ 20,000 - 21,000 "
Web Development & UI Design,The Lean Guy Show,Work from home,6 Months,"₹ 1,001 - 10,000 "
ChatGPT Gemini Deepseek Content Specialist (Technical Text Image Video),Innovation99,Bangalore,3 Months,"₹ 15,000 "
Operations,AppsForBharat,Bangalore,4 Months,"₹ 20,000 - 25,000 "
Digital Marketing,Steen Enterprise,Work from home,3 Months,"₹ 2,500 - 5,000 "
React JS Backend Developer & Gen AI,International Institute Of SDGs & Public Policy Research,Work from home,3 Months,Unpaid
Retail AM,LimeTray,Gurgaon,3 Months,"₹ 10,000 "
Curriculum Developer – ELA & Logic,Kayno World Education Private Limited,Work from home,2 Months,"₹ 5,000 - 12,000 "
Accounting,SwopStore,Noida,3 Months,"₹ 5,000 - 15,000 "
AI Automation & Agent Engineering Research,Kishore Ganth D,Work from home,3 Months,"₹ 8,000 "
Business Analytics,MHLondon,Noida,4 Months,"₹ 14,000 - 15,000 "
Social Media Marketing,French  Kalike,Work from home,2 Weeks,"₹ 6,000 - 7,500 "
Artificial Neural Networks Technical Writer,SKILL GEEK PRIVATE LIMITED,Work from home,3 Months,"₹ 25,000 - 50,000 "
Python Development,Nindo Education LLP,Work from home,2 Months,"₹ 4,000 - 8,000 "
Business Development (Sales),Cordly AI,Bangalore,2 Months,"₹ 10,000 - 15,000 "
HR Consultant,Garg Residency Private Limited,Work from home,6 Months,"₹ 5,500 - 20,000 "
Finance & Accounting,Finflock Systems Private Limited,Work from home,6 Months,"₹ 12,000 - 60,000 "
Artificial Intelligence (AI),Kots Daily Services Private Limited,Bangalore,6 Months,"₹ 21,000 "
Machine Learning,Pb Holotech India Pvt Ltd,"Howrah, Kanajuli",6 Months,"₹ 9,009 - 17,000 "
Digital Marketing,DataToBiz,Work from home,6 Months,"₹ 10,000 - 12,000 "
Financial Technical Analysis (Intraday Trading),Trader For Tomorrow,Work from home,2 Months,"₹ 19,000 "
3D Animation Video Editing,Kusum Sharma,Work from home,6 Months,"₹ 6,000 - 8,000 "
Future Of Work Research Internship,Multiverz,Work from home,3 Months,"$ 1,000 lump sum"
Marketing & E-commerce,RaasRani,Kolkata,6 Months,"₹ 3,000 "
AI,Bipolar Factory,Work from home,3 Months,"₹ 20,000 - 30,000 "
Generative AI,RealtyAI,Work from home,4 Months,"₹ 1,001 - 7,501 "
Market Research,Foodcow,"Chennai, Ramapuram",3 Months,"₹ 6,000 - 8,000 "
Business Development (Sales),7P Digital Services,Gurgaon,3 Months,"₹ 5,000 - 15,000 "
Growth Marketing,Tacheon,Chennai,3 Months,"₹ 8,000 - 12,000 "
Machine Learning,Anubrain Technology Private Limited,Work from home,3 Months,"₹ 3,000 - 5,000 "
Data Science,TechWorksLab Private Limited,Belgaum,6 Months,"₹ 2,000 - 10,000 "
Software Development,Factifi,Work from home,3 Months,"₹ 1,000 - 20,000 "
Digital Marketing - SEO & SEM,AMP Digital,Work from home,6 Months,"₹ 10,000 "
Artificial Intelligence (AI),COSGrid Systems Private Limited,Chennai,5 Months,"₹ 15,000 - 25,000 "
Cyber Security,COSGrid Systems Private Limited,Chennai,5 Months,"₹ 15,000 - 25,000 "
Digital Marketing,AKS Facilities,"Gurgaon, Dwarka",6 Months,"₹ 5,000 - 10,000 "
Artificial Intelligence (AI),Cabswale,Jaipur,6 Months,"₹ 16,000 - 25,000 "
Export Merchandising,M-Core Industries Private Limited,"Sonipat, Kundli",6 Months,"₹ 15,000 "
Artificial Intelligence (AI),Lateral Works Studio,Vasai,6 Months,"₹ 5,000 - 10,000 "
Illustrator,Quillcraft Contents Pvt Ltd,Work from home,3 Months,"₹ 8,000 - 10,000 "
Search Engine Optimization (SEO),Brightrays,"Delhi, Noida",3 Months,"₹ 15,000 "
Entry-Level Data Analytics Role,EY,"Ahmedabad, Mumbai",3 Months,Not provided
Business Analyst Intern,McKinsey & Company,"Chennai, Gurgaon, Mumbai, Bangalore",3 Months,Not provided
Research,ADOBE,Bangalore,2 Months,Not provided
Business Analytics,McKinsey & Company,"Chennai, Gurgaon, Mumbai",2 Months,Not provided
Corporate Functions Track,Nestlé,India,8 Weeks,Not provided
"NTUG 6M H2 – By Invite Only, Amazon University Talent Acquisition",Amazon,Bengaluru,Not Provided,Not provided
Market Research,ADOBE,Bengaluru,Not Provided,Not provided
Fund Services - Portfolio Analytics,Morgan Stanely,Mumbai,6 Months,Not provided
Fund Services,Morgan Stanely,Bengaluru,6 Months,Not provided
Fixed Income Research,Morgan Stanely,Mumbai,6 Months,Not provided
PNP Intern Performance,Intel,Bengaluru,Not Provided,Not provided
